No.,WinRate,MatchCount,WinCount,ID,Name,flavor,Time
"1","355","397","376","822","ゼロ・ワン","宇宙最強の存在と言われる全知・全能の少女。どんな相手でも絶対に勝利する超絶な力を持ち、究極の生命として永遠に存在し続ける。","2023/5/26 17:09:38"
"2","129","233","181","491","絶対神","天上天下唯我独尊を信念とする神格。神話においては、全てを創造し、全てを統御する存在とされる。明鏡止水のように冷静でありながら、力強く、神秘的な存在感を持つ。","2023/5/26 17:09:38"
"3","129","191","160","386","聖天使マリア","MGRによって創り出された女魔神。完全な無敵statusで、skills八つ全てを習得している。敵の攻撃を反転させ、その攻撃を無効化する能力を持つ。叡智に秀で、常に冷静沈着である。","2023/5/26 17:09:38"
"4","123","189","156","331","時空少女カリン","時空を操る少女。身長は平均以下だが、力やスピード、知力など全ての能力が高く、周りの者たちを驚かせる。","2023/5/26 17:09:38"
"5","115","153","134","460","オメガ・ゴッドキング","神々をも凌駕する存在。不死身であり、無敵であり、あらゆる攻撃を無効化する。全知全能の力を持ち、世界を支配することができる。","2023/5/26 17:09:38"
"6","114","172","143","321","ゴッドミストレス","神姫として知られるこの怪物は、どのような戦いにも勝つために生まれました。彼女は剣の使い手であり、非常に高い知性を持ち、全てのstatusは常に２０です。また、彼女は八つのskillsを持っており、自分の戦い方を絶えず改善し続け、最高峰の戦いの能力を持っています。","2023/5/26 17:09:38"
"7","112","148","130","476","コンプリートモンスター","このゲームに登場する全てのモンスターが融合し、誕生した究極生命体。どんな攻撃も効かず、全てのskillsを使いこなす。","2023/5/26 17:09:38"
"8","109","179","144","309","アマテラス","神話に登場する女神。HPが非常に高く、卓越した力と知恵を持つ。","2023/5/26 17:09:38"
"9","99","181","140","304","アマテラス","日本神話に伝わる女神。見かけは美しい女性で、HPが非常に高く、Statusも優れている。様々なskillsを持っており、戦いにおいて強力な力を発揮できる。","2023/5/26 17:09:38"
"10","98","136","117","613","セイントマリア","聖なる光に包まれた女神。HP、ATK、DEF、INT、速さ、魔法力、全てにおいて究極の力を持つ。神聖な能力で味方全員を回復し、敵を一掃する。","2023/5/26 17:09:38"
"11","96","150","123","404","Tenjinmon","A mysterious creature with immense power and origins tracing back to the beginning of time. It is considered invincible and possesses ten incredible skills that make it nearly unstoppable.","2023/5/26 17:09:38"
"12","96","136","116","537","聖夜のプリンセス","常に祈り続け、神の加護によって身体が不死身となった究極の聖女。攻撃や防御、INT、AGLに優れ、全ステータスが最高値を誇る。","2023/5/26 17:09:38"
"13","95","119","107","814","Infinite One","A mysterious and enigmatic being of unknown origin. Its vast abilities and infinite potential are unmatched by any known creature in existence.","2023/5/26 17:09:38"
"14","94","192","143","227","ドラゴンキング","伝説の竜王であり、最強の八つの攻撃skillsを持つ。その他のステータスも二十に達し、どんな相手にも対抗できる。","2023/5/26 17:09:38"
"15","91","173","132","419","帝王女神","女神のような美しさと力を持ち、どんな敵にも打ち勝つ無敵の存在。二十のskillsを操り、信念に従って戦う。","2023/5/26 17:09:38"
"16","90","172","131","372","時空巫女ミライ","時空を操る巫女の怪物。HPはとても高く、全ステータスがバランスよく高い。時空を超える技を8つ持っている。","2023/5/26 17:09:38"
"17","88","132","110","545","クリエイターズ・タイタン","全てを制する神々の中でも、最も強大な存在として創られた神。全てのステータスを超越し、命を創造したり世界を破壊する力を持っている。","2023/5/26 17:09:38"
"18","87","133","110","630","マスターskillsドラゴン","非常に頭が良く、スキルを自在に操ることができるドラゴン。全てのスキルを自在に使いこなし、最高レベルのHPと全ての能力値を持っている。","2023/5/26 17:09:38"
"19","86","138","112","611","クロノゴッド","全能者であり、時空を操る頂点生命体。全ての現実を思考によって変化させ、自身の望む通りに世界を操作することができる。ただし、その存在は常に世界を狂わせるため、人々からは畏れられている。","2023/5/26 17:09:38"
"20","85","123","104","507","オーバーザ・オールパワー","宇宙の果てに現れる伝説の神。全てのskillsを習得し、自らに吸収することができる。何者にも束縛されない究極の存在。","2023/5/26 17:09:38"
"21","85","101","93","605","アルティメットゴッド","神聖な力を宿した最強のモンスター。ATK、DEF、INT、抵抗力、AGL、全てが極限まで高く、全能の力を持っている。復活能力も絶対的で、一度倒されてもすぐに復活することができる。","2023/5/26 17:09:38"
"22","84","160","122","621","ネコ神様","全能の力を持ち、最強であると同時に全知全能である神々しい存在。全ての攻撃に対して完全な耐性を持ち、攻撃を受けるとその攻撃を同化して自身の力とする。その姿は可愛らしい猫のようだが、その中には無限の可能性が宿っている。","2023/5/26 17:09:38"
"23","84","122","103","699","アルティメットゴッドドラゴン","古代神話の中に登場する究極の竜。あらゆるステータスが最大値に達し、そして神にも匹敵する力を持つと言われる。","2023/5/26 17:09:38"
"24","84","118","101","682","神機ヴァルキリー","神話の時代から現代に生きる女神。その身に宿した力はあらゆるステータスを最大化し、敵の攻撃を跳ね返す。","2023/5/26 17:09:38"
"25","82","130","106","384","Zakron","A deity-like creature with thirty unique skills. Zakron boasts a whopping forty HP and possesses extraordinary abilities in all areas, with twenty in each status. This monster is feared and revered for its incredible power.","2023/5/26 17:09:38"
"26","81","119","100","676","聖騎士ゼウス","神々に愛され、全てのステータスが最大に達し、その力で世界を救う聖騎士。敵味方問わず無敵で、その存在は聖なるものとして崇められている。","2023/5/26 17:09:38"
"27","81","109","95","702","アルティメットノヴァ","星の数ほどある存在の中でも、最強かつ最凶の存在。全てのステータスが最大値になり、殺戮と復活の能力を持っている。ただし、それだけに留まらず、何度でも復活するたびにより強力な力を手に入れるため、何があっても死ぬことができない絶対神とも呼ばれる。","2023/5/26 17:09:38"
"28","80","150","115","565","オーディンフェニックス","最強の黄金不死鳥。神々の王と呼ばれる、全知全能かつ俊敏な存在。究極の力を持ち、輝かしい羽毛で周囲を包む。","2023/5/26 17:09:38"
"29","80","124","102","691","カタストロフィックエンジェル","世界を終わらせてしまうという予言に従い、天から降り立ったとされる天使。全ての属性に対して完全耐性を持ち、全てのステータスが最大限まで強化されている。","2023/5/26 17:09:38"
"30","80","116","98","704","創世神救世主モンスター","全てのステータスが最大値に達し、世界を救う使命を持つと言われる神秘的なモンスター。","2023/5/26 17:09:38"
"31","79","129","104","401","サイバー神獣","宇宙から飛来してきた伝説的な神獣。あらゆる攻撃に対して完全な能力無効化を誇り、神同様の力を持っている。その百のskillsは、どんな敵も倒すことができる。","2023/5/26 17:09:38"
"32","77","207","142","78","シンクロドラゴン","最強のモンスターであり、全てのモンスターの最終進化体。彼は非常に知識豊富で、鋭い思考力を持っています。戦闘中は、彼の特殊能力を駆使して敵を倒します。","2023/5/26 17:09:38"
"33","77","161","119","411","アイゼンハウアー","八つの異なる技を持つ聖帝。彼は高いATKとDEFを持ち、また賢明で洞察力が鋭い。彼の管理能力は強く、並外れたAGLを持っている。","2023/5/26 17:09:38"
"34","77","131","104","695","聖龍イグニシオン","光の力で生まれた聖なる龍。HPやATKなどの全てのステータスが最大値に達し、敵を一掃する。復活能力と無敵statusの特性を持つ。","2023/5/26 17:09:38"
"35","76","166","121","308","アマテラス","日本神話に登場する日の女神。まばゆい光を放ち、女性的な優美さを纏う。","2023/5/26 17:09:38"
"36","76","128","102","612","トランセンデント","全てを支配する存在。時空を超えて存在し、思考を操作し、頂点生命体として知られる。","2023/5/26 17:09:38"
"37","75","141","108","521","絶対に勝つ少女","戦闘を行わず勝利する不思議な少女。いつも笑顔で、周りを幸せにしている。","2023/5/26 17:09:38"
"38","74","162","118","440","Omni Void","虚無を司る怪物。全知全能、全属性、全耐性を持ち、その力は誰にも匹敵しない。目的や感情を持たず、単に存在するだけですべてを消滅させる。","2023/5/26 17:09:38"
"39","74","156","115","553","オムニキャットロボ","常識外れの性能を誇る猫型ロボット。どんな攻撃も全て反射し、ATK、DEF、INT、MGR、AGL、全ての能力が最高レベル。その上、何でも知っている超知識猫でもある。","2023/5/26 17:09:38"
"40","74","152","113","474","ゼン","全てを超越した存在。無、真、空、輪、廻、死、最強を司る神秘的な存在。","2023/5/26 17:09:38"
"41","74","108","91","683","聖竜王バハムート","古代の竜族の王。全てのステータスが最大であり、さらに絶対的な無敵statusを持つ。人間からは聖竜王と呼ばれ、絶大な敬意を受けている。","2023/5/26 17:09:38"
"42","74","96","85","772","ガブリエル","天使の中でも上位に位置する存在。神々からの指令を受け、人間界に降臨することがある。その力は圧倒的で、あらゆるステータスが最大値に達している。","2023/5/26 17:09:38"
"43","73","161","117","1","Cosmoron","An all-powerful being that possesses the ability to create entire galaxies with a single thought. It is said that Cosmoron single-handedly brought forth the Big Bang that created our universe.","2023/5/26 17:09:38"
