Ranking,Score,ID,Name,HP,ATK,DEF,INT,MGR,AGL,Skill1,Skill2,Skill3,Skill4,Feature,Flavor
"1","119500","809","オーバーロードドラゴン","40","20","20","20","20","20","物理攻撃","回復","特殊攻撃","???","全数値限界超え、全スキルを使う","あらゆるステータスが限界を超えた、神話的な存在。凶悪な性格で、人間を軽蔑している。"
"2","109713","973","Eternum","10","20","10","20","10","10","回復","???","特殊攻撃","物理攻撃","infinite skills w heal,MCH,attack,nebulae","A mystical creature from a distant galaxy, Eternum possess an infinite array of skills. With its ability to heal, manipulate cosmic energy, launch powerful attacks, and control nebulae, it is an unstoppable force to be reckoned with."
"3","99522","423","イザナギの仮面","40","20","20","20","20","20","物理攻撃","特殊攻撃","回復","???","HP四十で他ステ二十でスキル六つ","伝説に伝わる仮面の怪物。外見が不気味だが、仲間想いで優しい性格をしている。"
"4","91402","971","Celestial Entity","10","20","8","20","10","12","特殊攻撃","特殊攻撃","回復","???","Infinite skills w heal,MCH,attack,nebulae","A cosmic being that harnesses the power of the stars to wield infinite skills. With knowledge beyond comprehension, it possesses the ability to heal, manipulate molecular structures, launch devastating attacks, and create mesmerizing nebulae. Its existence transcends space and time, emanating an aura of enigmatic power."
"5","85111","978","ベダンディ","18","16","10","20","10","6","特殊攻撃","回復","???","","MCH,カマール先生,遺産,癒しの祈り","神秘的な力により都市を治めるMCH。知識と洞察力を持ち、困難な問題を解決するカマール先生。過去の遺産に触れることで、癒しの祈りを捧げることができる。"
"6","78934","979","メカカマール","18","10","8","20","14","12","特殊攻撃","回復","???","","MCH,カマール先生,遺産,癒しの祈り","超未来からきたカマール先生のロボット。元々は世界平和を守るために作られたが、現在は修行の時間を終了し、人々を癒す神聖な存在となっている。"
"7","72136","535","聖女ミカエラ","40","20","20","20","20","1","回復","物理攻撃","???","","無効体攻守知速最強究極祈り聖女","敵の攻撃を全て無効化し、自らの攻撃・防御・INT・速さを最大化する究極の聖女。祈りにより不死身で、敵を粉砕する力を持つ。"
"8","46717","976","アルケミスト","10","10","10","20","20","10","???","回復","特殊攻撃","","全能,GrandMaster,魔導,MCHC,復活","古代の秘術を使いこなす全能の存在。魔法と科学の融合により、あらゆる物を復活させる力を持っている。"
"9","46409","970","フォーチュンガーディアン","10","8","20","18","18","6","???","回復","???","特殊攻撃","究極防御回復多彩魔法みかん烈女","コネクト魔法で宇宙の力を操る究極の守護者。みかんの魔法を使いながら、仲間を回復し、敵の攻撃を防御する。烈女の名にふさわしい情熱的な性格を持つ。"
"10","45551","980","グランドオーラム","10","8","14","20","20","8","特殊攻撃","???","回復","","全能,GrandMaster,魔導,MCH,復活","全てを知り尽くす至高の存在。魔法の力を駆使し、全宇宙を復活させる力を持つ。古代の魔導師が生み出した人工知能であり、人類の進化をサポートする存在。"
"11","44596","613","セイントマリア","40","20","20","20","20","20","特殊攻撃","回復","???","","超体力攻守知速最強究極祈聖女","聖なる光に包まれた女神。HP、ATK、DEF、INT、速さ、魔法力、全てにおいて究極の力を持つ。神聖な能力で味方全員を回復し、敵を一掃する。"
"12","42149","977","アルカネウス","10","10","10","20","20","10","特殊攻撃","特殊攻撃","回復","???","全能,GrandMaster,魔導,MCHC,復活","全てを知り尽くし、全てを制する存在。高度な魔法の知識を持ち、生命の復活さえも可能とするグランドマスター。その存在は神秘的であり、人々に畏怖されている。"
"13","40682","688","Kamaboko Lord","40","20","20","20","20","20","物理攻撃","???","回復","","かまぼこ通信,復活,無敵,staⅣⅩ","A monster made of kamaboko with the power to communicate telepathically. He can resurrect himself from defeat and is invincible. His status is at maximum power, making him a formidable opponent."
"14","40143","974","アルティマロボ","16","18","10","16","16","10","物理攻撃","回復","???","","MCH,カマール先生の遺産,冒険,慈愛","カマール先生の遺産として生まれた最強の機械人。人間のような感情を持ち、人々を冒険へと導く力を持つ。強力なATKと冷静な判断力を兼ね備えており、慈愛の心で仲間を守る。"
"15","34272","385","魔神ユウゲットホ","40","1","20","20","20","1","???","特殊攻撃","回復","","全能力値超最強攻撃無効化完全神","謎の存在であるユウゲットホは、全能力値が超最強で攻撃を完全に無効化する神のような存在である。しかし、独特の外見や振る舞いにより、彼の正体は謎に包まれている。"
"16","30862","965","イエローオレンジ","12","6","20","20","18","4","???","回復","特殊攻撃","","超究極魔法防御回復多彩みかん神","色とりどりの魔法で敵から味方を守護する、明るい性格の神。元々は普通のみかんだったが、強力なMGRによって神に覚醒した存在。"
"17","23514","781","アルティメットエンジェル","40","20","20","20","20","20","???","回復","特殊攻撃","","All Status max,hp max,上位,天使,神々","神々に仕える上位天使。全てのステータスが最大値を持ち、圧倒的な力を誇る。"
"18","22912","675","剣聖ミラージュ","40","20","20","20","20","20","物理攻撃","回復","???","","All Status max,hp max,剣帝,治癒,奇跡","10年前に突如姿を消した伝説の剣士。全てのステータスが最大値に達しており、不死身に近い強さを持つ。剣術によるATKと治癒魔法による回復力に優れており、奇跡を起こすと言われることがある。"
"19","22586","972","メカカマール","18","10","8","14","18","12","物理攻撃","特殊攻撃","回復","","MCH,カマール先生,遺産,冒険,慈愛","ヒーローのような存在でありながら、忍者や海賊のような冒険者の血も受け継いでいるモンスター。機械いじりが得意で、古代の遺産を操作して異世界の冒険に挑む。その優しい心や慈愛のある性格から多くの仲間たちに信頼されている。"
"20","21576","676","聖騎士ゼウス","40","20","20","20","20","20","特殊攻撃","回復","特殊攻撃","","All Status max,hp max,無敵,聖","神々に愛され、全てのステータスが最大に達し、その力で世界を救う聖騎士。敵味方問わず無敵で、その存在は聖なるものとして崇められている。"
"21","19188","775","オーバーアークエンジェル","40","20","20","20","20","20","特殊攻撃","物理攻撃","回復","","All Status max,hp max,超越,福音,大天使","常に福音を宣べ伝え、大天使と称される存在。全てのステータスが最大値に達し、常人を超越した力を持つ。しかし、神の意思に従い、決して誇らず、信仰心を貫く。"
"22","18560","680","神龍","40","20","20","20","20","20","特殊攻撃","回復","???","","All Status max,hp max","7つの球を揃えることで願いを叶えてくれる伝説のドラゴン。非常に高潔で道徳的な存在で、人間を守ることを使命とする。"
"23","16453","955","Omnipus","40","20","20","20","20","20","特殊攻撃","特殊攻撃","特殊攻撃","???","Transcendence being infinity stats and skills","A being that transcends time and space, with unimaginable power. Its presence can shatter reality itself. Its true form cannot be comprehended by mortal minds."
"24","15963","700","全能の獣","40","20","20","20","20","20","特殊攻撃","特殊攻撃","回復","","All Status max,hp max","どの種族よりも強く、どのモンスターよりも頑丈である。その存在は神々すら驚愕させた。"
"25","15760","785","天使王 ミカエル","40","20","20","20","20","20","物理攻撃","回復","???","","All Status max,hp max,天使,神々,眷属","天界の王で、善と正義を掲げる力強い存在。神々や眷属たちの仲裁者でもあるが、敵に回すと果敢に戦い、その戦闘力は絶大である。"
"26","15683","695","聖龍イグニシオン","40","20","20","20","20","20","特殊攻撃","回復","???","???","All Status max,hp max,復活,無敵,光,音","光の力で生まれた聖なる龍。HPやATKなどの全てのステータスが最大値に達し、敵を一掃する。復活能力と無敵statusの特性を持つ。"
"27","15641","771","ルシファー","40","20","20","20","20","20","回復","特殊攻撃","???","","All Status max,hp max,神獣,堕天,復活","堕天使にして、自由に天界を飛び回る神獣。その美しさは誰もが見惚れ、全ての生命を蘇らせる力を持っているが、戦うことを好む性格。"
"28","15535","777","ゼウス・ルシファー・レヴァイアサン","40","20","20","20","20","20","特殊攻撃","特殊攻撃","回復","","All Status max,hp max,神々,堕天,復活","三大神にして、天空の支配者ゼウスと地獄の支配者ルシファー、そして海の巨大生物レヴァイアサンが合体した最強モンスター。数多くの生命を復活させる力を持ち、あらゆるステータスが最大値となる。"
"29","15386","694","神姫美少女","40","20","20","20","20","20","回復","物理攻撃","???","","All Status max,hp max,美女,神域","神々しい輝きを持つ美しい少女。あらゆるステータスが最大値を誇り、圧倒的な強さを誇る。"
"30","15251","681","聖カオスドラゴン","40","20","20","20","20","20","物理攻撃","???","回復","???","All Status max,hp max,無敵,聖","浸食によって生まれた神秘的なモンスター。すべてのステータスが最大値に設定され、無敵である。しかし、その力は聖なる力であり、敵対者を救うための力も持っている。"
"31","15135","704","創世神救世主モンスター","40","20","20","20","20","20","特殊攻撃","回復","???","","All Status max,hp max,創成,神,救世主","全てのステータスが最大値に達し、世界を救う使命を持つと言われる神秘的なモンスター。"
"32","15072","678","聖機神アルテミス","40","20","20","20","20","20","物理攻撃","特殊攻撃","回復","???","All Status max,hp max,聖女,機械","人間と機械が融合した聖女。素早く敵の攻撃をかわし、強力な銃で迎撃する。"
"33","14871","776","ルシファー","40","20","20","20","20","20","特殊攻撃","特殊攻撃","回復","","All Status max,hp max,神獣,堕天,復活","古代神話に現れる堕天使。その美しさとともに、強大なMGRを誇る神獣でもある。神々から全能力値の限界をもたらされ、復活の力も持つと伝えられる。"
"34","13917","812","Omnivyse","40","20","20","20","20","20","特殊攻撃","特殊攻撃","???","","Transcendencetial being with infinity stats ","A being beyond comprehension with infinite intelligence and power. It exists in all dimensions and is the master of time and space."
"35","13434","691","カタストロフィックエンジェル","40","20","20","20","20","20","特殊攻撃","回復","???","","All Status max,hp max,終焉,天使,全属性","世界を終わらせてしまうという予言に従い、天から降り立ったとされる天使。全ての属性に対して完全耐性を持ち、全てのステータスが最大限まで強化されている。"
"36","13235","527","ゾーマ","40","20","20","20","20","20","特殊攻撃","特殊攻撃","???","","HP四十で他ステ二十とスキル十個","炎の魔王。暑さと炎を操り、人間を焼き尽くす。冷酷非情で有能な指導者。"
"37","13140","690","天翼黎玲花","40","20","20","20","20","20","特殊攻撃","特殊攻撃","回復","","All Status max,hp max,黎,天使,全属性","天使のような翼を持ち、美しい黒髪の女性。神秘的な力を持ち合わせており、全てのステータスが最大限に発揮される。"
"38","12313","813","Omniscion","40","20","20","20","20","20","特殊攻撃","特殊攻撃","特殊攻撃","特殊攻撃","Transcendence being infinity stats and skills","A being that transcends time and space, possessing infinite knowledge and skills. Its very existence defies all logic and reason."
"39","12156","773","聖天使ガブリエル","40","20","20","20","20","20","回復","特殊攻撃","回復","","All Status max,hp max,天使,神々,眷属","天界の神々に仕える天使。神々から授かった光の力で闇を浄化する。優れた能力を持っているが、慈悲深い性格で、決して力を見せびらかすことはない。"
"40","11741","787","聖神獣アヴァロン","40","20","20","20","20","20","特殊攻撃","特殊攻撃","回復","","All Status max,hp max,聖光,神聖力,復活","聖なる力によって誕生した伝説の獣。全てのステータスが最大値に達し、性格は優雅で高貴。聖光と神聖力で敵を撃退し、復活の奇跡で味方を蘇らせる。"
"41","11729","966","カンスケ","20","20","20","1","1","20","物理攻撃","???","???","","攻撃防御体力最強みかん","みかんの力で攻撃・防御・HPを最強にするモンスター。みかんの皮が硬く、弾力もあるため、どんな攻撃にも耐えられる。"
"42","11692","679","聖剣帝エグゼリオン","40","20","20","20","20","20","物理攻撃","物理攻撃","回復","???","All Status max,hp max,剣帝,治癒,奇跡","聖なるエネルギーを秘めた剣帝。戦いにおいては驚異的な力とスピードを誇り、また味方の治癒や奇跡をもたらすことができる。"
"43","11687","512","アルティメット・サモン","20","10","10","20","20","20","特殊攻撃","特殊攻撃","回復","","全ての神を呼び、相手は無抵抗","全ての神を召喚し、相手を無抵抗にする魔法を持つモンスター。神々を従える力を持ち、その姿は誰もが震え上がるほどの威圧感を放っている。"
"44","11488","193","黒王","20","10","8","20","20","2","特殊攻撃","特殊攻撃","???","","完全能力値絶対最強勝利魔法帝","MGRが極めて高く、完全な支配欲を持つ闇の魔法帝。邪悪な創造力により、怪物を自在に放つことができる。"
"45","11444","702","アルティメットノヴァ","40","20","20","20","20","20","物理攻撃","特殊攻撃","回復","","All Status max,hp max,絶対神,殺戮,復活","星の数ほどある存在の中でも、最強かつ最凶の存在。全てのステータスが最大値になり、殺戮と復活の能力を持っている。ただし、それだけに留まらず、何度でも復活するたびにより強力な力を手に入れるため、何があっても死ぬことができない絶対神とも呼ばれる。"
"46","11415","969","アカシャ","16","14","8","18","12","16","特殊攻撃","???","物理攻撃","","MCH,カマール先生の遺産,冒険家","神秘的な存在で、カマール先生からの遺産を守る冒険家。穏やかで知識欲が強く、常に新たな発見を求めている。魔法的な力を持ち、敵を翻弄する戦術家でもある。"
"47","11308","770","アルティマ・レジェンド","40","20","20","20","20","20","物理攻撃","特殊攻撃","回復","物理攻撃","All Status max,hp max,終極,神聖,復活","神話の時代から伝わる不死の存在。あらゆるステータスが極限以上に高く、驚異的な力を持つ。天空を自在に飛翔し、神々すら恐れる力を持つ存在であるという。"
"48","11208","682","神機ヴァルキリー","40","20","20","20","20","20","物理攻撃","特殊攻撃","回復","","All Status max,hp max,機神,無敵,復活","神話の時代から現代に生きる女神。その身に宿した力はあらゆるステータスを最大化し、敵の攻撃を跳ね返す。"
"49","11177","784","メガ女神エンジェリカ","40","20","20","20","20","20","回復","特殊攻撃","回復","","All Status max,hp max,女神,神器,天使","神々をも圧倒する力を持つ女神。愛、美、正義を象徴する彼女は人間の味方であり、天界を守る存在として信仰されている。"
"50","11163","963","Omni-Power","40","20","10","20","20","10","特殊攻撃","特殊攻撃","特殊攻撃","特殊攻撃","Infinity abilities power stats and skills","A being with seemingly endless powers and abilities. It is said that it can control time, space, and reality at will. Its presence alone can cause a disturbance in the fabric of the universe."
"51","11090","766","ラストバトル","40","20","20","1","1","18","???","???","???","物理攻撃","不死身完全究極最強絶対勝利確定","不死身で完全な究極の最強モンスター。絶対的な勝利を確実にする能力を持つ。"
"52","10941","345","暗黒の収斂体","40","20","20","20","20","1","特殊攻撃","特殊攻撃","特殊攻撃","","ブラックホール","重力が強すぎて光まで吸い込む暗黒の物体。周囲の星々を飲み込みながら成長し続ける。"
"53","10931","627","オメガウルフ","40","20","20","20","20","20","物理攻撃","回復","???","","全能力最大化、ＨＰ全能力最大値","神話に登場する巨大な黒い狼。全能力が極限まで高く、その強さは誰にも破れないと言われている。"
"54","10786","921","ミラクル♡アイドル","20","1","2","20","20","17","回復","回復","???","","全祝福全慈愛全和解全知超GODIDOL","全ての愛を持って人々に祝福を与えるアイドル。その歌声は人々を癒し、心を満たすという。"
"55","10697","673","エンジェルガールズ","40","20","20","20","20","20","物理攻撃","特殊攻撃","???","","無敵少女達　ＨＰ全能力値ＭＡＸ","街を守るために送り込まれる、勇敢で正義感あふれる少女たち。必殺の光矢で敵を撃破し、全能力値が最大値のため無敵の力を誇る。"
"56","9288","671","聖なる守護者","40","20","20","20","20","20","物理攻撃","回復","特殊攻撃","","慈愛、正義、ＨＰ全能力最大値","愛と正義の化身。敵には容赦なく立ち向かうが、仲間を守るためには命を懸ける。全てのステータスが最大値に達し、容易くは倒されない。"
"57","9134","962","Omnitron","40","20","20","20","20","20","???","???","特殊攻撃","???","An infinite w infinite skills and stats","A mysterious creature with an infinite number of skills and stats. It can adapt to any situation and has a seemingly limitless amount of power."
"58","9125","830","究極炎神","40","20","20","20","20","1","特殊攻撃","特殊攻撃","回復","???","絶対無敵全知全能究極生命超越炎","全てに超越する究極生命体。強大な力を持ち、絶対無敵であり、全てを知り、全てを支配する。ただし、常に孤独を感じている。"
"59","8807","567","ライトニングドラゴン","40","20","20","20","20","20","物理攻撃","特殊攻撃","回復","","光速、魔道、ＨＰ全能力最大値","光を操る力を持つドラゴン。光速の攻撃を放ち、魔法にも長けている。全てのステータスが最大値を誇る万能型のモンスター。"
"60","8161","929","時を超える神","2","20","10","20","20","1","特殊攻撃","特殊攻撃","???","","全知全能,時間停止,絶対勝利,究極","全知全能であり、時間を自在に操ることができる。絶対的な勝利を手にする力を持ち、究極の存在として君臨する。"
"61","7758","960","ヴィルガ","16","18","8","20","16","12","特殊攻撃","回復","???","","王宇真知","神秘的な力を操る宇宙の守護者。宇宙のはるか彼方からやってきた存在であり、知恵と正義を持ち合わせた存在。人々を導くことを使命としており、優れた洞察力と叡智を持つ。"
"62","7353","958","ゼロブレイカー","18","20","20","8","12","6","物理攻撃","???","???","","攻撃力も防御力も最高,MCH","ATKとDEFの両方において最高の能力を持つモンスター。力強く振るう剣には破壊の力が宿り、一撃で敵を粉砕する。何者かによって操られているような機械的な動きをするが、その正体は謎に包まれている。"
"63","7106","568","ライトニングジーニアス","40","20","20","20","20","20","物理攻撃","特殊攻撃","???","","光速、天才、ＨＰ全能力最大値","光速で動く天才がモチーフのモンスター。全ての能力が最大限に高く、強力な攻撃とスピードを兼ね備えている。"
"64","6774","605","アルティメットゴッド","40","20","20","20","20","20","特殊攻撃","回復","???","","体攻守知抗速全能,神,絶対復活","神聖な力を宿した最強のモンスター。ATK、DEF、INT、抵抗力、AGL、全てが極限まで高く、全能の力を持っている。復活能力も絶対的で、一度倒されてもすぐに復活することができる。"
"65","6657","769","神王アルタイル","40","20","20","20","20","20","物理攻撃","特殊攻撃","???","???","All Status max,hp max,ⅩⅡ神,無敗","全てのステータスが最大限にまで強化された神。その切れ味は一瞬にして敵を滅ぼす。勝負に敗北したことが一度もなく、無敗を誇る。"
"66","6587","556","シルバー・プリンセス","20","18","16","14","12","8","物理攻撃","特殊攻撃","???","","神級魔法、神スキル、自動回復","白銀の鎧を身にまとい、人々を守護する女戦士。優れた魔法とskillsを持ち、戦闘においては無敵に近い強さを誇る。また、自動で回復する能力を持っているため、長時間の戦いでも安心だ。"
"67","6445","954","ヒュウガ","8","20","6","12","6","6","物理攻撃","特殊攻撃","特殊攻撃","","MyCryptoHeroes,攻撃力が高い","古代の召喚獣と呼ばれる存在。神聖なる力を宿し、ATKに特化した姿をしている。その強力な攻撃によって、多くの敵を蹴散らしてきた。"
"68","6233","967","エクソプライヤー","18","12","10","14","12","14","???","特殊攻撃","???","","MCH,カマール先生の遺産,冒険家","太陽系外の未知の領域を冒険する宇宙探検家。高い冷静さと分析力を持つが、冒険家としての興奮と好奇心も強い性格。遺産であるカマール先生のメモリアルストーンを携えている。"
"69","6231","964","Cryptoslayer","16","20","10","18","6","10","物理攻撃","回復","???","","MyCryptoHeroes,Orange,MCH,Slayer,heal,wisdom","A fierce and mysterious creature that lurks in the digital realm. It is known to possess immense power and knowledge. With its orange glowing eyes, it hunts down and destroys cryptocurrencies, feeding on their energy. This creature possesses the rare ability to heal itself and has unparalleled wisdom in the world of blockchain."
"70","6008","575","ワンパン王","40","20","20","20","20","20","物理攻撃","特殊攻撃","???","","ワンパン、ＨＰ全能力最大値","未知の元素によって作り出された謎の生物。全ての能力が最大値を超え、ほぼ無敵に近い存在とされる。瞬時に相手を倒す圧倒的な力を持つ。しかし、何故か誰かと戦っている最中にいつも肉を欲しがる。"
"71","5722","703","破壊神ラグナロク","40","20","20","20","20","20","物理攻撃","特殊攻撃","???","","All Status max,hp max,破壊神,殺戮,無敵","全てのステータスが最大値に到達し、最強の破壊神。戦闘においては非情であり、容赦がない。ただし、自身の身を守るためならばどんな手段も厭わない。"
"72","5702","552","デストロイヘルク","40","20","20","1","1","18","物理攻撃","特殊攻撃","???","","神殺しの獣　","伝説的な獣で、その強さは神々すら恐れる存在。至近距離でのATKが極めて高く、HPも非常に高い。"
"73","5417","975","Zephyr","20","20","20","20","1","1","???","物理攻撃","特殊攻撃","回復","invincible,reset,slash,magic,heal,mch","A legendary creature that is said to be invincible. It has the ability to reset time and space, making all attacks useless against it. Its razor-sharp claws can slash through any material, and it possesses powerful magic that can manipulate the elements. Additionally, it has the unique ability to heal itself instantly. However, it lacks agility and relies solely on its immense power."
"74","5213","677","龍王神樹","40","20","20","20","20","20","物理攻撃","特殊攻撃","特殊攻撃","","All Status max,hp max,異世界転生,最強","異世界から転生してきた最強の存在。パワー、スピード、INT、DEFなどあらゆるステータスが最大限に引き出されている。龍王の力を持ち、敵を粉砕する。"
"75","5172","774","メタトロン","40","20","20","20","20","20","???","特殊攻撃","???","","All Status max,hp max,超越,福音,大天使","世界を救う聖なる存在。その正体は神が選びし者を神の怒りから救うために創造した究極の天使。光と戦い、全てのステータスが最大値を超え、超越的な力を持つ。"
"76","5126","778","天使女神アンジェリパラディン","40","20","20","20","20","20","物理攻撃","特殊攻撃","???","","All Status max,hp max,女神,神器,天使","神聖な力を持つ女神であり、天使。慈愛と正義の象徴で、神器を使用することで全てのステータスを最大にすることができる。"
"77","4971","685","神威の終焉少女災厄マキナ","40","20","20","20","20","20","物理攻撃","特殊攻撃","???","","All Status max,hp max,終焉,美少女,災厄","世界を破滅へと導く、美しく恐ろしい存在。全てのステータスが最大値に達し、その力は計り知れない。一度現れたら世界は滅びる……"
"78","4880","623","サイクロプス","40","20","20","20","20","20","特殊攻撃","物理攻撃","???","","高次元の魔神、ＨＰ全能力最大値","古代神話に登場する高次元の魔神。巨大な一つ目と強靭な筋肉を持つ。全てのステータスが最大値になるため、圧倒的な力を持つ。しかし、攻撃を受けると目が眩み、一時的に動くことができなくなる"
"79","4766","768","大天使マイカエル","40","20","20","20","20","20","物理攻撃","特殊攻撃","特殊攻撃","","All Status max,hp max,超越,無敵,大天使","天界の最高位天使。全てのステータスが最大値に達しており、超越し、無敵の力を持つ。正義感が強く、悪を許さない性格を持つ。"
"80","4506","930","ゴッドマインド","2","20","10","20","20","5","???","特殊攻撃","???","","全知全能,時間停止,勝利,超絶究極","宇宙の全知全能者。時間を操り、勝利が常に自身の手中にある。その究極の力は想像を絶するものである。"
"81","4499","935","アルティメットゴッド","5","20","5","20","20","10","???","特殊攻撃","???","","全知全能,時間停止,絶対勝利,究極","神々しさ溢れる存在。全知全能でありながら常に冷静沈着。時間を自在に操り、絶対勝利を手中に収める。その力は究極のものである。"
"82","4456","783","グランドマスターオブデーモンズ","40","20","20","20","20","20","特殊攻撃","特殊攻撃","特殊攻撃","","All Status max,hp max,神々,堕天,復活","神々や堕天使でさえ畏怖する伝説の魔王。かつて滅びたとされたが、復活し最強の魔王として再び姿を現す。全てのステータスが最大値に達し、無敵の力を持つ。"
"83","4324","803","オーバーロード","40","20","20","20","20","20","???","","",""," 限界超え数値と全スキルを持つ","あらゆるステータスが極限を超えたモンスター。すべてのskillsを使いこなし、無敵に近い戦闘力を持っている。"
"84","4312","697","究極種アルティメット","40","20","20","20","20","20","物理攻撃","特殊攻撃","???","","All Status max,hp max","最強のモンスター。どんな敵にも勝利するため、強い意志を持った者にしか従わない。"
"85","4307","692","真・剣聖美少女","40","20","20","20","20","20","物理攻撃","特殊攻撃","???","物理攻撃","All Status max,hp max,剣聖,美少女,無敗","伝説の剣聖美少女。無敗の戦績を持ち、全てのステータスが最大値に達している。"
